ObservationDate,Confirmed,Deaths,Recovered,New_Cases,New_Deaths,New_Cases_MA_7,New_Cases_MA_14,New_Cases_MA_30,New_Deaths_MA_7,New_Deaths_MA_14,New_Deaths_MA_30,Anomaly_Cases,Anomaly_Deaths,Z_Score_Cases,Z_Score_Deaths
2020-01-22,555.0,17.0,28.0,0.0,0.0,,,,,,,False,False,,
2020-01-23,653.0,18.0,30.0,98.0,1.0,,,,,,,False,False,,
2020-01-24,941.0,26.0,36.0,288.0,8.0,,,,,,,False,False,,
2020-01-25,1438.0,42.0,39.0,497.0,16.0,,,,,,,False,False,,
2020-01-26,2118.0,56.0,52.0,680.0,14.0,,,,,,,False,False,,
2020-01-27,2927.0,82.0,61.0,809.0,26.0,,,,,,,False,False,,
2020-01-28,5578.0,131.0,107.0,2651.0,49.0,717.5714285714286,,,16.285714285714285,,,True,False,2.143874150161906,1.9224700734500435
2020-01-29,6165.0,133.0,126.0,587.0,2.0,801.4285714285714,,,16.571428571428573,,,False,False,-0.252333127843113,-0.8719222713091854
2020-01-30,8235.0,171.0,143.0,2070.0,38.0,1083.142857142857,,,21.857142857142858,,,False,False,1.0929476163636984,0.9599163483146185
2020-01-31,9925.0,213.0,222.0,1690.0,42.0,1283.4285714285713,,,26.714285714285715,,,False,False,0.47766208744864946,0.8962111080856241
2020-02-01,12038.0,259.0,284.0,2113.0,46.0,1514.2857142857142,,,31.0,,,False,False,0.7293090661463834,0.84875450214375
2020-02-02,16787.0,362.0,472.0,4749.0,103.0,2095.5714285714284,,,43.714285714285715,,,False,False,1.9211538970007118,1.9341277488281114
2020-02-03,19881.0,426.0,623.0,3094.0,64.0,2422.0,,,49.142857142857146,,,False,False,0.5194551112887321,0.48943299086449465
2020-02-04,23892.0,492.0,852.0,4011.0,66.0,2616.285714285714,1666.9285714285713,,51.57142857142857,33.92857142857143,,False,False,0.9761110334339548,0.4652073276220412
2020-02-05,27636.0,564.0,1124.0,3744.0,72.0,3067.285714285714,1934.357142857143,,61.57142857142857,39.07142857142857,,False,False,0.5868014611633257,0.46393411610898605
2020-02-06,30818.0,634.0,1487.0,3182.0,70.0,3226.1428571428573,2154.6428571428573,,66.14285714285714,44.0,,False,False,-0.041399589218526184,0.19282271330356038
2020-02-07,34392.0,719.0,2011.0,3574.0,85.0,3495.285714285714,2389.3571428571427,,72.28571428571429,49.5,,False,False,0.09550534627405745,0.7127149741676934
2020-02-08,37121.0,806.0,2616.0,2729.0,87.0,3583.285714285714,2548.785714285714,,78.14285714285714,54.57142857142857,,False,False,-1.273970736353283,0.6276409666595306
2020-02-09,40151.0,906.0,3244.0,3030.0,100.0,3337.714285714286,2716.6428571428573,,77.71428571428571,60.714285714285715,,False,False,-0.6815477813724456,1.6818979332617174
2020-02-10,42763.0,1013.0,3946.0,2612.0,107.0,3268.8571428571427,2845.4285714285716,,83.85714285714286,66.5,,False,False,-1.2498712176653055,1.4841787754745879
2020-02-11,44803.0,1113.0,4683.0,2040.0,100.0,2987.285714285714,2801.785714285714,,88.71428571428571,70.14285714285714,,False,False,-1.6160919130733993,0.7864948007627273
2020-02-12,45222.0,1118.0,5150.0,419.0,5.0,2512.285714285714,2789.785714285714,,79.14285714285714,70.35714285714286,,True,True,-2.0102997061163617,-2.1222896793518644
2020-02-13,60370.0,1371.0,6295.0,15148.0,253.0,4221.714285714285,3723.9285714285716,,105.28571428571429,85.71428571428571,,True,True,2.2205992408281507,2.0014631931524147
2020-02-14,66887.0,1523.0,8058.0,6517.0,152.0,4642.142857142857,4068.714285714286,,114.85714285714286,93.57142857142857,,False,False,0.3763857748954378,0.49479219779284656
2020-02-15,69032.0,1666.0,9395.0,2145.0,143.0,4558.714285714285,4071.0,,122.85714285714286,100.5,,False,False,-0.48050302102075787,0.2700604372172233
2020-02-16,71226.0,1770.0,10865.0,2194.0,104.0,4439.285714285715,3888.5,,123.42857142857143,100.57142857142857,,False,False,-0.4423879024984975,-0.26114632821973527
2020-02-17,73260.0,1868.0,12583.0,2034.0,98.0,4356.714285714285,3812.785714285714,,122.14285714285714,103.0,,False,False,-0.454133153778468,-0.32274327605121395
2020-02-18,75138.0,2007.0,14352.0,1878.0,139.0,4333.571428571428,3660.4285714285716,,127.71428571428571,108.21428571428571,,False,False,-0.4789310782458208,0.15182858778877148
2020-02-19,75641.0,2122.0,16121.0,503.0,115.0,4345.571428571428,3428.9285714285716,,143.42857142857142,111.28571428571429,,False,False,-0.7510023963136035,-0.5416896549466585
2020-02-20,76199.0,2247.0,18177.0,558.0,125.0,2261.285714285714,3241.5,2521.4666666666667,125.14285714285714,115.21428571428571,74.33333333333333,False,False,-0.8460131910230994,-0.006972296005572021
2020-02-21,76843.0,2251.0,18890.0,644.0,4.0,1422.2857142857142,3032.214285714286,2542.9333333333334,104.0,109.42857142857143,74.46666666666667,False,True,-0.9656500330731655,-2.120472324199928
2020-02-22,78599.0,2458.0,22886.0,1756.0,207.0,1366.7142857142858,2962.714285714286,2598.2,113.14285714285714,118.0,81.33333333333333,False,False,0.5122649465989308,1.5554228343780354
2020-02-23,78985.0,2469.0,23394.0,386.0,11.0,1108.4285714285713,2773.8571428571427,2601.4666666666667,99.85714285714286,111.64285714285714,81.43333333333334,False,False,-0.977776164507304,-1.2369765943023447
2020-02-24,79570.0,2629.0,25227.0,585.0,160.0,901.4285714285714,2629.0714285714284,2604.4,108.71428571428571,115.42857142857143,86.23333333333333,False,False,-0.5010764013727189,0.6810362541833451
2020-02-25,80415.0,2708.0,27905.0,845.0,79.0,753.8571428571429,2543.714285714286,2609.9,100.14285714285714,113.92857142857143,88.4,False,False,0.1965799817012475,-0.2830524778478139
2020-02-26,81397.0,2770.0,30384.0,982.0,62.0,822.2857142857143,2583.9285714285716,2615.6666666666665,92.57142857142857,118.0,89.6,False,False,0.3504594802258617,-0.4042805126939487
2020-02-27,82756.0,2814.0,33277.0,1359.0,44.0,936.7142857142857,1599.0,2572.6,81.0,103.07142857142857,89.43333333333334,False,False,0.8828688352312369,-0.4866736186323072
2020-02-28,84124.0,2872.0,36711.0,1368.0,58.0,1040.142857142857,1231.2142857142858,2598.633333333333,88.71428571428571,96.35714285714286,91.3,False,False,0.6791823082844229,-0.4428351504777445
2020-02-29,86013.0,2941.0,39782.0,1889.0,69.0,1059.142857142857,1212.9285714285713,2592.6,69.0,91.07142857142857,92.33333333333333,False,False,1.6051511230050526,0.0
2020-03-01,88371.0,2996.0,42716.0,2358.0,55.0,1340.857142857143,1224.642857142857,2614.866666666667,75.28571428571429,87.57142857142857,92.76666666666667,False,False,1.649271882993598,-0.5210199414698607
2020-03-02,90309.0,3085.0,45602.0,1938.0,89.0,1534.142857142857,1217.7857142857142,2609.0333333333333,65.14285714285714,86.92857142857143,94.2,False,False,0.7361491598485322,1.5691996135478585
2020-03-03,92844.0,3160.0,48229.0,2535.0,75.0,1775.5714285714287,1264.7142857142858,2535.233333333333,64.57142857142857,82.35714285714286,93.26666666666667,False,False,1.3408854306640652,0.7113014435910145
2020-03-04,95124.0,3254.0,51171.0,2280.0,94.0,1961.0,1391.642857142857,2508.1,69.14285714285714,80.85714285714286,94.26666666666667,False,False,0.6830631538301324,1.3605103395201776
2020-03-05,97886.0,3348.0,53797.0,2762.0,94.0,2161.4285714285716,1549.0714285714287,2466.4666666666667,76.28571428571429,78.64285714285714,95.2,False,False,1.2869678076551698,1.0742744291669017
2020-03-06,101800.0,3460.0,55866.0,3914.0,112.0,2525.1428571428573,1782.642857142857,2472.133333333333,84.0,86.35714285714286,96.53333333333333,True,False,2.0249342642045463,1.4770978917519944
2020-03-07,105836.0,3558.0,58359.0,4036.0,98.0,2831.8571428571427,1945.5,2500.6,88.14285714285714,78.57142857142857,97.46666666666667,False,False,1.4670739314518064,0.5389747833775017
2020-03-08,109835.0,3803.0,60695.0,3999.0,245.0,3066.285714285714,2203.5714285714284,2514.766666666667,115.28571428571429,95.28571428571429,102.8,False,True,1.0433444486064531,2.227015852072074
2020-03-09,113582.0,3996.0,62512.0,3747.0,193.0,3324.714285714286,2429.4285714285716,2548.7,130.14285714285714,97.64285714285714,106.33333333333333,False,False,0.5514936954739298,0.9905857331634731
2020-03-10,118582.0,4262.0,64404.0,5000.0,266.0,3676.8571428571427,2726.214285714286,2614.366666666667,157.42857142857142,111.0,111.86666666666666,False,False,1.474290583648807,1.4346340283145627
2020-03-11,125865.0,4615.0,67003.0,7283.0,353.0,4391.571428571428,3176.285714285714,2770.0666666666666,194.42857142857142,131.78571428571428,120.06666666666666,True,False,2.0186296019654537,1.5990186456706168
2020-03-12,128343.0,4720.0,68324.0,2478.0,105.0,4351.0,3256.214285714286,2784.6666666666665,196.0,136.14285714285714,120.23333333333333,False,False,-1.257789941790507,-0.9344603623038531
2020-03-13,145193.0,5404.0,70251.0,16850.0,684.0,6199.0,4362.071428571428,3332.366666666667,277.7142857142857,180.85714285714286,142.86666666666667,True,True,2.1633872788014856,2.0261697666020617
2020-03-14,156099.0,5819.0,72624.0,10906.0,415.0,7180.428571428572,5006.142857142857,3190.9666666666667,323.0,205.57142857142858,148.26666666666668,False,False,0.7302514750032124,0.4877794635026628
